px,val,day,mn,cd
1.104,91.698,7,0,0
2.371,86.604,7,0.4,0
3.515,149.434,7,0.8,0
4.578,95.943,7,1.2,0
5.722,100.189,7,1.6,0
6.948,95.943,7,0,0.2
8.093,85.755,7,0.4,0.2
9.074,90,7,0.8,0.2
10.3,90.849,7,1.2,0.2
11.526,93.396,7,1.6,0.2
12.589,90,7,0,0.4
13.896,86.604,7,0.4,0.4
14.959,82.358,7,0.8,0.4
16.104,84.906,7,1.2,0.4
17.248,90,7,1.6,0.4
18.392,93.396,7,0,0.6
19.537,82.358,7,0.4,0.6
20.681,93.396,7,0.8,0.6
21.826,78.962,7,1.2,0.6
22.97,120.566,7,1.6,0.6
24.114,105.283,7,0,0.8
25.177,89.151,7,0.4,0.8
26.403,84.906,7,0.8,0.8
27.629,84.057,7,1.2,0.8
28.815,84.906,7,1.6,0.8