OPEN 6.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Dec  8 2023 09:01:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-2246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-2.289999962,-0.219999999,-2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/LCF_Source-cacao.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,flow at 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""09:02:13 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,09:06:28,360.5000233,0,2.889021639,0.031630155,339.3859043,0.575105533,1.723061498,29.95168686,2,4.644859791,0,4.644859791,30.41493607,29.95168686,30.39102364,499.9093018,498.638916,25.67594147,25.90003777,57.38476181,57.88560867,499.9728088,116.4569397,117.8511963,97.51258087,-2.448428869,0.114615455,0.041434515,0.003475436,0.013621144,0.002324041,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499864044,0.000575106,303.1016869,303.5649361,18.63310994,-0.004411162,4.248641025,43.57018333,17.67014556,30.18331146,4.305515508,0.03141622,2.525579527,1.779935981,0.019654247,33.09439544,0.680624583,58.2691881,497.7992396,0.003381704
2,09:09:26,539.0000232,0,2.263923856,0.032109357,275.3281009,0.598078186,1.764665526,30.1777401,2,4.644859791,0,4.644859791,30.6409626,30.1777401,30.62149429,399.9139099,398.9128723,25.80968666,26.042696,56.94213104,57.45620728,499.9822083,155.5593567,155.191452,97.51195526,-1.248218298,0.114221968,0.033664562,0.00332782,0.019348586,0.004071747,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499911041,0.000598078,303.3277401,303.7909626,24.88949651,0.015614572,4.304139734,44.1396106,18.0969146,30.40935135,4.361657188,0.031888913,2.539474207,1.822182981,0.01995026,26.84778145,0.69019608,57.80141824,398.2548767,0.003285785
3,09:12:33,726.0000232,0,1.530133002,0.037851312,226.3803057,0.702213822,1.759802332,30.18541527,2,4.644859791,0,4.644859791,30.74497032,30.18541527,30.76989937,300.0648804,299.3687134,25.83690643,26.11046791,56.66772079,57.26771927,499.98172,119.4507523,120.1197815,97.5177002,-0.249544293,0.109461129,0.015250789,0.004851611,0.016800152,0.002495837,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.4999086,0.000702214,303.3354153,303.8949703,19.11211993,-0.019459471,4.306035114,44.15644653,18.04597862,30.46519279,4.375624419,0.037545352,2.546232782,1.829391638,0.023493143,22.07608678,0.756192266,57.98597219,298.9239896,0.002968188
4,09:15:48,921.0000232,0,-0.194105058,0.046282186,200.8246259,0.851851813,1.749448089,30.06685448,2,4.644859791,0,4.644859791,30.70649719,30.06685448,30.77105141,200,200.009491,25.58627701,25.91819763,56.23943329,56.96900558,499.9830017,50.06677246,50.76324081,97.51409149,0.635620356,0.10627681,0.032715343,0.002294106,0.032210402,0.002442929,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499915009,0.000851852,303.2168545,303.8564972,8.010683415,-0.083251828,4.276837584,43.85866205,17.94046442,30.38667583,4.355996619,0.045825572,2.527389495,1.828607124,0.028681659,19.58323095,1.004075481,58.0342671,200.0659064,-0.000563052
5,09:20:08,1181.000023,0,-1.252802339,0.061570562,129.9872662,1.122932994,1.739224739,30.03560638,2,4.644859791,0,4.644859791,30.70093536,30.03560638,30.75545502,100.0064163,100.4624176,25.50693512,25.94445992,56.08276367,57.04476166,499.9941101,50.0308075,49.12062836,97.51393127,1.21970892,0.105453596,0.028140461,0.002826923,0.015306818,0.003244825,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499970551,0.001122933,303.1856064,303.8509354,8.00492902,-0.127655885,4.26917102,43.78011392,17.83565401,30.36827087,4.351406831,0.060765082,2.529946281,1.82146055,0.038049732,12.67556934,1.293889489,58.34147987,100.8265369,-0.007249118
6,09:24:29,1441.500023,0,-1.83310597,0.087522387,82.69580095,1.57455862,1.724709894,30.0748558,2,4.644859791,0,4.644859791,30.7145195,30.0748558,30.76113701,49.89192581,50.5933342,25.5792408,26.19259453,56.19700241,57.54452515,499.9779968,133.3118591,135.1772156,97.5120163,1.349394917,0.102559194,0.009076859,0.001956395,0.008168086,0.001689468,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499889984,0.001574559,303.2248558,303.8645195,21.32989698,-0.15394257,4.278802598,43.87974694,17.68715241,30.39468765,4.357995906,0.085903716,2.554092704,1.803903202,0.053832941,8.06383429,1.63451969,59.00078248,51.1261152,-0.021154489
7,09:28:49,1701.500023,0,2.948204,0.073006059,322.4071216,1.338778675,1.75255252,30.13718224,2,4.644859791,0,4.644859791,30.77464294,30.13718224,30.81349945,400.0021667,398.6094055,25.54358864,26.06514931,55.92446899,57.06636047,499.9929199,71.8499527,71.53759766,97.50888062,-1.299944401,0.111415967,0.036294304,0.007031656,0.03046336,0.008676555,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.4999646,0.001338779,303.2871822,303.9246429,11.49599217,-0.15187261,4.294136052,44.03840988,17.97326058,30.45591259,4.37330053,0.071876335,2.541583532,1.831716998,0.04502286,31.43755753,0.808829689,58.3592778,397.7525281,0.004325681
8,09:31:30,1862.500023,0,2.271874705,0.036945326,289.388687,0.701363636,1.800669873,30.17520142,2,4.644859791,0,4.644859791,30.75518608,30.17520142,30.80144691,399.9934998,398.9727783,25.39485168,25.66820717,55.65987015,56.2590065,499.9796448,80.91068268,81.19309235,97.50751495,-1.293979764,0.116466247,0.032001253,0.005736885,0.037958965,0.006775903,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499898224,0.000701364,303.3252014,303.9051861,12.94570894,-0.041874328,4.303512967,44.13519275,18.46698558,30.46519375,4.375624658,0.036653781,2.502843094,1.872781564,0.02293463,28.21757172,0.725334416,56.98710154,398.3124719,0.003250402
9,09:35:19,2091.500023,0,2.698166015,0.023332728,300.6680652,0.44950986,1.822430873,30.11729813,2,4.644859791,0,4.644859791,30.68377113,30.11729813,30.74492836,500.0302429,498.8612671,25.1247673,25.30002403,55.29004669,55.67572021,499.9947815,76.43756866,74.98870087,97.5022049,-2.589913368,0.116425619,0.0285984,0.003824553,0.019368524,0.002667398,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499973907,0.00044951,303.2672981,303.8337711,12.23001071,-0.00291791,4.289239,43.99120005,18.69117601,30.40053463,4.359455478,0.023216106,2.466808127,1.892647351,0.014520499,29.3157993,0.602708779,56.20667768,498.0770617,0.003044809
10,09:39:39,2351.500023,0,3.298779367,0.02176109,340.3689467,0.422180258,1.834940545,30.05490685,2,4.644859791,0,4.644859791,30.62579536,30.05490685,30.67832947,599.9382324,598.5175781,24.85124397,25.01589966,54.86648941,55.23001862,499.9754944,54.28256607,55.77663422,97.49656677,-4.02927494,0.121801384,0.071932852,0.003682537,0.060763624,0.004696868,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499877472,0.00042218,303.2049068,303.7757954,8.685210377,-0.011645948,4.273904877,43.83646541,18.82056575,30.3403511,4.344452306,0.021659615,2.438964331,1.905487975,0.01354634,33.18480374,0.568686634,55.74302225,597.5588081,0.003077252
11,09:43:59,2612.000023,0,4.100435754,0.014669673,332.2208767,0.285393669,1.837537438,29.99749756,2,4.644859791,0,4.644859791,30.54460907,29.99749756,30.59988976,800.03302,798.3016357,24.73380852,24.84513474,54.86100769,55.10794067,499.9775085,84.7963562,84.22097778,97.49594879,-6.964815617,0.124369912,0.034707841,0.001581636,0.046851225,0.002182724,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499887543,0.000285394,303.1474976,303.6946091,13.56741669,0.028837051,4.259837421,43.69245568,18.84732094,30.27105331,4.327232781,0.014623488,2.422299984,1.904932797,0.009143818,32.39018958,0.416159584,55.47361329,797.1098692,0.002853634
12,09:47:13,2806.000023,0,5.201940018,0.012479753,308.8252502,0.243246124,1.840433341,29.94618225,2,4.644859791,0,4.644859791,30.48244095,29.94618225,30.54087448,999.8858032,997.7078247,24.59149742,24.68639946,54.74065781,54.95191193,499.9708252,79.03418732,79.73133087,97.49757385,-10.33728218,0.116398908,0.028217524,0.003076499,0.029743027,0.002098069,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499854126,0.000243246,303.0961823,303.6324409,12.64546969,0.031895878,4.247297395,43.56310857,18.87670911,30.2143116,4.313177578,0.012446312,2.406864054,1.906313523,0.007781942,30.10971264,0.309534758,55.25741285,996.1959128,0.002885434
13,09:51:34,3066.500023,0,6.182085552,0.012282462,365.8508682,0.240894975,1.852064094,29.91463852,2,4.644859791,0,4.644859791,30.42412758,29.91463852,30.47548294,1200.171021,1197.582642,24.39476776,24.48877144,54.48306274,54.69300842,499.971405,99.86659241,99.33307648,97.49533081,-13.89418507,0.119585991,0.113873675,0.001354448,0.07461495,0.00309538,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499857025,0.000240895,303.0646385,303.5741276,15.97865443,0.043756036,4.239604966,43.48521033,18.99643889,30.16938305,4.302076791,0.012250069,2.387540873,1.914535918,0.007659197,35.66875142,0.305491125,54.89748599,1195.785856,0.002838142
14,09:55:54,3327.000023,0,6.983964976,0.011129032,363.338002,0.218874859,1.857049923,29.85452271,2,4.644859791,0,4.644859791,30.35891342,29.85452271,30.40919495,1400.142456,1397.226318,24.20217705,24.28760719,54.25520706,54.44671631,499.9614868,67.77362061,67.32532501,97.49533844,-17.68574905,0.121904373,0.066459857,0.003446032,0.098871,0.001359069,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499807434,0.000218875,303.0045227,303.5089134,10.84377905,0.027641257,4.224978406,43.33518375,19.04757656,30.10671806,4.286635331,0.01110243,2.367928483,1.918706847,0.006941404,35.42376148,0.26004234,54.61651374,1395.196472,0.002733951